datetime,generation_mw,demand_mw,load_shedding,gas,liquid_fuel,coal,hydro,solar,wind,india_bheramara_hvdc,india_tripura,india_adani,nepal,remarks
2015-04-19 21:59:59,6323,6323,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 21:00:00,6667,6667,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 18:59:59,6897,6897,0,4415,1836,161,41,nan,nan,444,0,nan,nan,
2015-04-19 18:30:00,6933,6933,0,4423,1862,159,45,nan,nan,444,0,nan,nan,Evening_Peak
2015-04-19 18:00:00,6874,6874,0,4319,1892,155,65,nan,nan,443,0,nan,nan,
2015-04-19 17:29:59,6299,6299,0,4056,1602,156,42,nan,nan,443,0,nan,nan,
2015-04-19 17:00:00,5725,5725,0,3892,1190,158,42,nan,nan,443,0,nan,nan,
2015-04-19 15:59:59,5604,5604,0,3895,1065,160,40,nan,nan,444,0,nan,nan,
2015-04-19 15:00:00,5651,5651,0,3942,1064,161,40,nan,nan,444,0,nan,nan,
2015-04-19 14:00:00,5692,5692,0,3973,1074,162,40,nan,nan,443,0,nan,nan,
2015-04-19 12:59:59,5157,5157,0,3712,802,160,40,nan,nan,443,0,nan,nan,
2015-04-19 12:00:00,5284,5284,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 11:00:00,5029,5029,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 09:59:59,4803,4803,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 09:00:00,4488,4488,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 08:00:00,4049,4049,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 06:59:59,3592,3592,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 06:00:00,3444,3444,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 05:00:00,3283,3283,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 03:59:59,3641,3641,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 03:00:00,3632,3632,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 02:00:00,3727,3727,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 00:59:59,3612,3612,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 20:00:00,6853,6853,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-19 00:00:00,4821,4821,0,0,0,0,0,nan,nan,0,0,nan,nan,
2015-04-20 15:00:00,6309,6309,0,3955,1719,153,40,nan,nan,442,0,nan,nan,
2015-04-20 21:00:00,6702,6702,0,3648,2418,160,42,nan,nan,434,0,nan,nan,
2015-04-20 14:00:00,6218,6218,0,3905,1673,158,40,nan,nan,442,0,nan,nan,
2015-04-20 12:59:59,6069,6069,0,3952,1477,157,42,nan,nan,6069,0,nan,nan,
2015-04-20 12:00:00,6064,6064,0,3898,1523,160,42,nan,nan,441,0,nan,nan,
2015-04-20 11:00:00,5808,5808,0,3853,1317,155,42,nan,nan,441,0,nan,nan,Day_Peak
2015-04-20 09:59:59,5787,5787,0,3976,1168,159,42,nan,nan,442,0,nan,nan,
2015-04-20 09:00:00,5603,5603,0,4014,956,149,42,nan,nan,442,0,nan,nan,
2015-04-20 06:59:59,5183,5183,0,3989,571,152,30,nan,nan,441,0,nan,nan,
2015-04-20 08:00:00,5569,5569,0,4209,738,151,30,nan,nan,441,0,nan,nan,
2015-04-20 00:00:00,5678,5678,0,4140,895,162,40,nan,nan,441,0,nan,nan,
2015-04-21 23:00:00,6114,6114,0,4620,888,136,40,nan,nan,430,0,nan,nan,
2015-04-21 21:59:59,6551,6551,0,4620,888,136,40,nan,nan,430,0,nan,nan,
2015-04-21 21:00:00,6712,6712,0,4515,1563,162,42,nan,nan,430,0,nan,nan,
2015-04-21 20:00:00,6904,6904,0,4400,1884,148,42,nan,nan,430,0,nan,nan,
2015-04-21 18:59:59,7473,7473,0,4496,2319,146,82,nan,nan,430,0,nan,nan,Evening_Peak
